id_str,screen_name,created_at,latitude,longitude,text,,,
362523555,QuakesToday,Wed May 09 08:15:05 +0000 2018,19418,-155261,"2.5 magnitude #earthquake. 4 km from #Volcano, HI, #UnitedState",,,
362523555,QuakesToday,Wed May 09 08:05:08 +0000 2018,19386,-155034,"1.9 magnitude #earthquake. 15 km from Fern Acres, HI, #UnitedState",,,
240277857,vinodivasworld,Wed May 09 08:04:29 +0000 2018,20.84899058, -156.50721138,"Quick flight to Maui and dinner at @millhousemaui. Honestly, this",,,
54474170,x3cinderella48,Wed May 09 07:58:32 +0000 2018,20.88526312, -156.46493654,Micah’s very last #gymagery before he graduates pre school. Thank,,,
362523555,QuakesToday,Wed May 09 07:55:05 +0000 2018,19.45,-154965,"1.8 magnitude #earthquake. 5 km from Leilani Estates, #HI, United State",,,
526121270,ShortiniPhotog,Wed May 09 07:52:36 +0000 2018,19.94138374, -155.86262757,"Champions Tennis circuit featuring legends Agassi, Sampras, McEnroe,",,,
526121270,ShortiniPhotog,Wed May 09 07:52:28 +0000 2018,19.94138374, -155.86262757,"Champions Tennis circuit featuring legends Agassi, Sampras, McEnroe,",,,
362523555,QuakesToday,Wed May 09 07:50:04 +0000 2018,19404,-155279,"3.1 magnitude #earthquake. 6 km from Volcano, HI, #UnitedState",,,
56950776,selphie6999,Wed May 09 07:47:21 +0000 2018,20.85417721, -156.31088498,I'm at Makawao in H,,,
2920049156,eq_map_es2,Wed May 09 07:47:17 +0000 2018,19.4, -155.28,"【ML3.0】ISLA DE HAWAII, HAWAII 0km 09/05/2018 07:40:34 UTC #Sismo #Terremoto(G)YuG7kQT6Na (EMS",,,
1144740888,eq_map_ww2,Wed May 09 07:47:16 +0000 2018,19.4, -155.28,"【ML3.0】ISLAND OF HAWAII, HAWAII Depth 0km May 09, 2018 07:40:34 UTC (G)LsOtqQwKx3 (EMS",,,
56950776,selphie6999,Wed May 09 07:46:53 +0000 2018,20.85219928, -156.31316892,"I'm at Makawao Post Office in Makawao, H",,,
241074964,simonrrbrown,Wed May 09 07:33:54 +0000 2018,21.15575015, -156.9564703,"On the way down to Kalaupapa - 1,700 ft down the cliff path. A",,,
3000643676,PadinFULL,Wed May 09 07:26:52 +0000 2018,20.6575,-156445,Words can’t describe the fun I have with this wonderful woman in our,,,
362523555,QuakesToday,Wed May 09 07:25:07 +0000 2018,19391,-154977,"1.9 magnitude #earthquake. 11 km from Leilani Estates, HI, ##UnitedState",,,
49840255,insidejobrob,Wed May 09 07:18:39 +0000 2018,20.99798219, -156.66561213,walk the Dragon labyrinth ! @,,,
3000643676,PadinFULL,Wed May 09 07:16:22 +0000 2018,20.95104933, -156.51734768,My bad ass girl @Damesy91 taking an #atv ride through the Hawaiian,,,
49840255,insidejobrob,Wed May 09 07:16:00 +0000 2018,20.90452, -156.28218,This zoo helps animals recover! @ Boo,,,
362523555,QuakesToday,Wed May 09 07:15:05 +0000 2018,19427,-154826,"2.4 magnitude #earthquake. 11 km from Leilani Estates, HI, #UnitedState",,,
362523555,QuakesToday,Wed May 09 07:10:04 +0000 2018,19094,-155309,"2.4 magnitude #earthquake. 22 km from Pāhala, #HI, United State",,,
36722963,Carlitobythebay,Wed May 09 06:54:45 +0000 2018,20.68377868, -156.4417521,#nofilter #kiteboarding #familytrip @ Mau,,,
227366903,mike_herron,Wed May 09 06:52:14 +0000 2018,19.73888889, -156.04555556,Getting ready to head back to the mainland. Going to miss my family,,,
322284644,taydavies_,Wed May 09 06:51:46 +0000 2018,20.76951362, -156.24264947,First National Park down••• many more to go ⛰ @ Haleakalā National,,,
42410227,kellovinlife,Wed May 09 06:47:11 +0000 2018,20.92915584, -156.36718517,"Had an amazing day today, followed by a fabulous anniversary dinner.",,,
1704004980,GeneLamkin,Wed May 09 06:37:41 +0000 2018,19.7055,-155086,"Hilo murals @ Hilo, Hawai",,,
122307661,IlhamAbbas,Wed May 09 06:17:20 +0000 2018,19.56483906, -155.96510866,"Visited #Kilauea Volcano in 2015, From air showing you an active",,,
21226961,Mr2theP,Wed May 09 06:13:09 +0000 2018,20.897778, -156.222222,Talking problems Me I talk Solutions #ListenLinda #islandfever @,,,
20118175,Nicknack784,Wed May 09 06:07:31 +0000 2018,20.68434638, -156.441257,A luau in the books. Tomorrow the Road,,,
362523555,QuakesToday,Wed May 09 06:05:08 +0000 2018,19406,-155263,"1.8 magnitude #earthquake. 5 km from #Volcano, HI, United State",,,
33372075,AlxKawakami,Wed May 09 05:59:54 +0000 2018,19.8606,-155652,Had a great weekend with the broskis and our lovely ladies to,,,
33372075,AlxKawakami,Wed May 09 05:59:54 +0000 2018,19.8606,-155652,Had a great weekend with the broskis and our lovely ladies to,,,
249924919,hall476,Wed May 09 05:46:19 +0000 2018,19.471389, -155.908056,Here fishy fishy fishy fishy... #kealakekuabay #cookpoint,,,
362523555,QuakesToday,Wed May 09 05:35:06 +0000 2018,19347,-155079,"1.8 magnitude #earthquake. 18 km from Fern Acres, HI, #UnitedState",,,
"8,00110720213873E+017",MNahidC,Wed May 09 05:34:29 +0000 2018,19.8261359, -155.4722325,Final observation night at @NASA_IRTF.A little cloudy before sunset but the forecast may improve as the night wea,,,
310708166,SkylarPeterson,Wed May 09 05:16:10 +0000 2018,20.8808,-156545,🌧 @ Iao Valle,,,
362523555,QuakesToday,Wed May 09 05:15:05 +0000 2018,19371,-155018,"1.8 magnitude #earthquake. 15 km from #LeilaniEstates, HI, United State",,,
1483621586,HappyMonkey604,Wed May 09 05:12:14 +0000 2018,20.88581, -156.68535,I have the cutest dinner date!! 😁 @ Old Lahaina Lua,,,
362523555,QuakesToday,Wed May 09 05:10:05 +0000 2018,19309,-155207,"2.0 magnitude #earthquake. 15 km from Volcano, #HI, United State",,,
362523555,QuakesToday,Wed May 09 05:10:05 +0000 2018,19475,-155362,"1.9 magnitude #earthquake. 14 km from Volcano, #HI, United State",,,
165421195,irishman911,Wed May 09 05:07:49 +0000 2018,20.9348,-156679,"No words needed @ Kaanapali, Hawai",,,
238455583,TweetsNotTwits,Wed May 09 05:07:41 +0000 2018,20.81105, -156.2887,Turtle town at Hooikipa Beach. They come on the beach to rest at,,,
362523555,QuakesToday,Wed May 09 05:05:06 +0000 2018,19425,-154989,"1.8 magnitude #earthquake. 9 km from Leilani Estates, HI, #UnitedState",,,
19478886,Brittneeeeeyyyy,Wed May 09 05:00:45 +0000 2018,20.7591,-156457,"Now I understand why people always come back. ❤️ @ Kihei, Hawai",,,
526121270,ShortiniPhotog,Wed May 09 04:58:06 +0000 2018,19.99474937, -155.82442103,The lovely jeannekapela dancing at this years Big Island Chocolate,,,
56950776,selphie6999,Wed May 09 04:56:39 +0000 2018,20.92435159, -156.31407251,"I'm at Pu'u Koa Place in Haiku, H",,,
362523555,QuakesToday,Wed May 09 04:50:04 +0000 2018,19.4,-155277,"2.4 magnitude #earthquake. 7 km from Volcano, #HI, United State",,,
15878114,erikblair,Wed May 09 04:40:23 +0000 2018,20.74945214, -156.43861771,My last month enjoying the friends I’ve made @mauibrewingco #maui,,,
167846691,DisreisDiogo,Wed May 09 04:38:50 +0000 2018,20.8861,-156675,First couple of days here in Maui. #Maui #hawaii #aloha #lahaina,,,
15318615,jhaubein,Wed May 09 04:38:47 +0000 2018,20.78619, -156.00643,Yes that’s black sand! Such an experience today on the road to Hana!,,,
3254543274,callmewera2,Wed May 09 04:32:02 +0000 2018,19.45149612, -157.13618469,🤙🏻 en Centro Cultural Universitario Tlatelolc,,,
3254543274,callmewera2,Wed May 09 04:30:00 +0000 2018,19.45149612, -157.13618469,🤙🏻 chida asamblea en Centro Cultural Universitario Tlatelolc,,,
60707138,sherfit,Wed May 09 04:26:24 +0000 2018,20.8861,-156675,Good night 🌙 from Maui ❤️ wishing everyone an amazing night 🙏🏼 #maui,,,
362523555,QuakesToday,Wed May 09 04:25:04 +0000 2018,19319,-155163,"2.1 magnitude #earthquake. 16 km from Volcano, #HI, United State",,,
1704004980,GeneLamkin,Wed May 09 04:23:28 +0000 2018,19.3542,-154979,"Red Road tree tunnel #Hawaii #BigIsland @ Kalapana, Hawai",,,
35857129,johnendriss,Wed May 09 04:20:35 +0000 2018,19501,-154953,Got to briefly serve at the Red Cross eruption shelter today. Here's,,,
362523555,QuakesToday,Wed May 09 04:20:04 +0000 2018,19.41,-155266,"2.8 magnitude #earthquake. 5 km from Volcano, HI, #UnitedState",,,
1054364461,ChrisKuzmich,Wed May 09 04:19:16 +0000 2018,19932,-155865,Great to be back on the Big Island 🌴Poke and booze to start the,,,
285555348,RobertJohnCook,Wed May 09 04:18:36 +0000 2018,19.39923,-155287,"Meanwhile, down the street... #bigislandlavaflow @ Hawai'i Volcanoes",,,
