time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-05T00:37:10.590Z,19.2096667,-155.3211667,8.93,5.3,mb,52,179,0.07726,0.22,hv,hv70117041,2018-05-12T23:27:27.040Z,"16km E of Pahala, Hawaii",earthquake,0.48,0.66,,149,reviewed,hv,hv
2018-05-04T22:32:54.370Z,19.3127,-154.9975,2.06,6.9,mww,,212,0.115,1.49,us,us1000dyad,2018-05-18T01:50:02.428Z,"19km SSW of Leilani Estates, Hawaii",earthquake,5.5,3.6,0.056,31,reviewed,hv,us
2018-05-04T21:32:46.120Z,19.4446,-155.1367,5.1,5.4,mww,,25,0.057,0.94,us,us1000dy8n,2018-05-09T08:45:28.534Z,"9km SW of Fern Acres, Hawaii",earthquake,6.1,3,0.098,10,reviewed,us,us
2018-05-03T20:30:56.500Z,19.3442,-155.0702,6.93,5,mb,,172,0.05,0.7,us,us1000dxhr,2018-05-11T00:01:34.936Z,"18km S of Fern Acres, Hawaii",earthquake,7.4,4.8,,,reviewed,hv,hv
