text
"I'm at Kahului Airport in Kahului, H"
Drinking a Fire Rock by @KonaBrewingCo @ Laverne's Sports Bar 
Change of command ceremony. A beautiful breezy day. 🇺🇸🤙🏽 (@ Pohakuloa Training Area in HI
"Maui was unforgettable!  Place where you can go an unwind, unplug and go on an adventure!...#maui #i♥travel #1"
"2018/06/02: Hilo, HI, United States: SPACE LAB Vol.2 kXgQYqjnb"
Omggg - Drinking a Kua Bay IPA by @KonaBrewingCo @ Rays on the Bay  
So much yummm - Drinking a Hanalei Island IPA by @KonaBrewingCo @ Rays on the Bay  
Sitting on the plane ‘ewa’ewa @HawaiianAir heading to the motherland -so ready see my family an sleep! 🤙🏽 #Oahu #i
"Can you recommend anyone for this #job in #Hilo, HI? kHkSkZ2QYO #CustomerSer"
"Early morning coffeeeeeee #earlier #today (@ Kona Coffee &amp; Tea in Kailua Kona, HI"
"Good brew, good talks ... great friend #gideon (at @KonaBrewingCo. &amp; Brewpub in Kailua Kona, HI"
"Early dinner...... (@ Mama's Fish House in Paia, HI"
Tchau Hawaii (@ Hawaii
"Work with beans (@ The Coffee Lounge in Kailua Kona, HI"
