text
"Now, thanks to the magic of Instagram, we’re teleported back to Hawaii for more from the"
#artsandsciencescenterpuna #tropicallivingfestival @ Hawaii Academy of Arts and Science
"Find different ways to create shapes. PC: @ruizjohn @ Waipio, Hawai"
Shipping the scuba gear. No more diving in Hawaii for a while @ The
Just cruising along. 🐢🐠 @ Two Step Beach Hawai
We saw a volcano 🌋 from far away. #volcano #bigisland #hawaii #vacation @ Hawai'i Volcanoes
We saw turtles! 🐢 🐢 🐢 and burnt sand #blacksandbeach #blacksand #bigisland #hawaii #vacation
Steak 🥩 seafood 🍤 açai 🍇alohamixfoodtruck #roadtrip #yum #food #bigisland #hawaii #instagood @
