time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-09T07:52:45.300Z,56.0998,-149.9997,19.75,3.6,ml,,209,2.135,0.53,us,us1000e17r,2018-05-09T09:15:06.040Z,"238km SE of Kodiak, Alaska",earthquake,9.6,9.7,0.053,46,reviewed,us,us
2018-05-09T07:46:22.690Z,55.9372,-149.8768,5,2.9,ml,,,,0.59,ak,ak19384302,2018-05-09T14:48:41.327Z,"257km SE of Kodiak, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2018-05-09T07:13:10.350Z,31.9471667,-116.2928333,20.08,3.22,ml,36,116,0.2986,0.26,ci,ci38168952,2018-05-09T16:45:59.269Z,"32km ENE of Ensenada, B.C., MX",earthquake,0.37,0.95,0.171,201,reviewed,ci,ci
2018-05-09T06:53:20.698Z,56.3872,-148.4234,3.4,2.7,ml,,,,0.47,ak,ak19383226,2018-05-09T14:37:47.696Z,"287km ESE of Kodiak, Alaska",earthquake,,2.5,,,reviewed,ak,ak
2018-05-09T05:04:06.680Z,17.8985,-68.1131,27,2.71,md,5,222,1.0093,0.43,pr,pr2018129002,2018-05-09T08:44:33.978Z,"74km SE of Boca de Yuma, Dominican Republic",earthquake,4.22,27.46,0.26,2,reviewed,pr,pr
2018-05-09T05:03:48.390Z,-21.7197,-68.444,120.44,4.4,mb,,44,0.745,0.62,us,us1000e161,2018-05-09T05:28:31.040Z,"96km NNE of Calama, Chile",earthquake,6.5,7.3,0.149,13,reviewed,us,us
2018-05-09T04:09:02.490Z,19.4101658,-155.2656708,1.29,2.81,ml,11,110,0.005793,0.09,hv,hv70133261,2018-05-09T04:15:12.090Z,"3km SW of Volcano, Hawaii",earthquake,0.32,0.32,0.4,3,automatic,hv,hv
2018-05-09T03:23:29.730Z,33.2229,70.4568,40.86,5.1,mww,,49,1.763,0.9,us,us1000e15a,2018-05-09T18:03:11.579Z,"29km NNW of Bannu, Pakistan",earthquake,7.8,5.8,0.073,18,reviewed,us,us
2018-05-09T02:43:40.420Z,19.4153328,-154.8486633,5.68,3.24,ml,37,271,0.07479,0.3,hv,hv70133086,2018-05-09T03:04:36.369Z,"9km SE of Leilani Estates, Hawaii",earthquake,1.22,0.77,3.44,19,automatic,hv,hv
2018-05-09T02:43:24.220Z,19.4018326,-155.2720032,0.52,2.69,ml,11,128,0.006614,0.12,hv,hv70133081,2018-05-09T02:48:58.540Z,"4km SW of Volcano, Hawaii",earthquake,0.23,0.21,2.89,19,automatic,hv,hv
2018-05-09T02:10:17.840Z,18.7884,-105.4702,10,4.4,mb,,221,4.099,0.63,us,us1000e14n,2018-05-09T02:34:29.040Z,"93km WSW of San Patricio, Mexico",earthquake,11.2,2,0.061,77,reviewed,us,us
2018-05-09T01:34:26.710Z,19.361,-154.9563333,6.4,2.88,ml,5,218,0.08533,0.06,hv,hv70132946,2018-05-09T05:13:18.040Z,"12km SSW of Leilani Estates, Hawaii",earthquake,1.06,2.09,0.204,16,reviewed,hv,hv
2018-05-09T01:32:30.670Z,56.2239,-149.4298,19.83,3.7,mb,,178,2.327,0.95,us,us1000e14a,2018-05-09T13:47:19.159Z,"251km SE of Kodiak, Alaska",earthquake,5.5,8.3,0.503,1,reviewed,us,us
2018-05-09T01:16:27.220Z,18.2123,-67.0888,127,2.94,md,9,170,0.0367,0.14,pr,pr2018129001,2018-05-09T04:45:52.770Z,"5km ENE of Mayaguez, Puerto Rico",earthquake,2.07,0.93,0.29,7,reviewed,pr,pr
2018-05-09T00:11:04.410Z,19.2941666,-155.2194977,8.48,2.9,ml,48,106,0.01376,0.26,hv,hv70132771,2018-05-09T00:28:05.040Z,"15km S of Volcano, Hawaii",earthquake,0.5,0.44,2.94,18,automatic,hv,hv
2018-05-09T00:03:21.180Z,19.4125,-65.2598,69,3.29,md,8,330,1.4003,0.18,pr,pr2018129000,2018-05-09T04:45:18.660Z,"122km N of Culebra, Puerto Rico",earthquake,3.87,10.76,0.06,3,reviewed,pr,pr
