time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-09T10:41:45.750Z,36.9902,71.3687,111.93,6.2,mww,,19,0.586,1.03,us,us1000e19e,2018-05-11T12:36:01.367Z,"36km NW of Ishkashim, Tajikistan",earthquake,6,4.3,0.066,22,reviewed,us,us
2018-05-08T11:49:34.020Z,34.016,-116.7798333,12.89,4.49,mw,185,18,0.03006,0.18,ci,ci38167848,2018-05-11T12:32:56.903Z,"11km N of Cabazon, CA",earthquake,0.09,0.22,,6,reviewed,ci,ci
2018-05-05T06:19:04.590Z,14.4969,123.9312,17.87,6.1,mww,,29,7.556,1.05,us,us1000dym9,2018-05-11T12:30:01.364Z,"56km NNW of Pandan, Philippines",earthquake,7.7,4.1,0.071,19,reviewed,us,us
2018-05-04T22:32:54.370Z,19.3127,-154.9975,2.06,6.9,mww,,212,0.115,1.49,us,us1000dyad,2018-05-11T07:43:47.887Z,"19km SSW of Leilani Estates, Hawaii",earthquake,5.5,3.6,0.056,31,reviewed,hv,us
2018-05-04T21:32:46.120Z,19.4446,-155.1367,5.1,5.4,mww,,25,0.057,0.94,us,us1000dy8n,2018-05-09T08:45:28.534Z,"9km SW of Fern Acres, Hawaii",earthquake,6.1,3,0.098,10,reviewed,us,us
2018-05-03T20:30:56.500Z,19.3442,-155.0702,6.93,5,mb,,172,0.05,0.7,us,us1000dxhr,2018-05-11T00:01:34.936Z,"18km S of Fern Acres, Hawaii",earthquake,7.4,4.8,,,reviewed,hv,hv
2018-04-23T00:46:08.900Z,33.921,-116.3216667,8.25,3.87,mw,101,27,0.07503,0.15,ci,ci37920791,2018-05-08T16:34:06.809Z,"13km NNE of Thousand Palms, CA",earthquake,0.09,0.32,,4,reviewed,ci,ci
2018-04-20T00:01:35.370Z,42.1192,-83.0196,3.28,3.4,mwr,,27,0.507,0.69,us,us1000dny9,2018-05-10T11:43:13.726Z,"2km E of Amherstburg, Canada",earthquake,1.7,2.9,0.098,10,reviewed,us,us
2018-04-16T16:39:26.470Z,37.4346667,-121.773,9.31,3.82,mw,216,31,0.02682,0.12,nc,nc73000196,2018-05-08T12:24:35.730Z,"9km NNE of Alum Rock, CA",earthquake,0.07,0.16,,6,reviewed,nc,nc
